TYPE,YEAR,MONTH,Observations,YEAR-MONTH
Break and Enter Residential/Other,2005,11,406,2005-11-01
Break and Enter Residential/Other,2005,12,395,2005-12-01
Break and Enter Residential/Other,2006,1,483,2006-01-01
Break and Enter Residential/Other,2006,2,400,2006-02-01
Break and Enter Residential/Other,2006,3,464,2006-03-01
Break and Enter Residential/Other,2006,4,391,2006-04-01
Break and Enter Residential/Other,2006,5,404,2006-05-01
Break and Enter Residential/Other,2006,6,462,2006-06-01
Break and Enter Residential/Other,2006,7,491,2006-07-01
Break and Enter Residential/Other,2006,8,436,2006-08-01
Break and Enter Residential/Other,2006,9,488,2006-09-01
Break and Enter Residential/Other,2006,10,600,2006-10-01
Break and Enter Residential/Other,2006,11,510,2006-11-01
Break and Enter Residential/Other,2006,12,543,2006-12-01
Break and Enter Residential/Other,2007,1,487,2007-01-01
Break and Enter Residential/Other,2007,2,381,2007-02-01
Break and Enter Residential/Other,2007,3,397,2007-03-01
Break and Enter Residential/Other,2007,4,408,2007-04-01
Break and Enter Residential/Other,2007,5,414,2007-05-01
Break and Enter Residential/Other,2007,6,455,2007-06-01
Break and Enter Residential/Other,2007,7,436,2007-07-01
Break and Enter Residential/Other,2007,8,456,2007-08-01
Break and Enter Residential/Other,2007,9,364,2007-09-01
Break and Enter Residential/Other,2007,10,386,2007-10-01
Break and Enter Residential/Other,2007,11,454,2007-11-01
Break and Enter Residential/Other,2007,12,358,2007-12-01
Break and Enter Residential/Other,2008,1,432,2008-01-01
Break and Enter Residential/Other,2008,2,404,2008-02-01
Break and Enter Residential/Other,2008,3,375,2008-03-01
Break and Enter Residential/Other,2008,4,337,2008-04-01
Break and Enter Residential/Other,2008,5,368,2008-05-01
Break and Enter Residential/Other,2008,6,376,2008-06-01
Break and Enter Residential/Other,2008,7,364,2008-07-01
Break and Enter Residential/Other,2008,8,353,2008-08-01
Break and Enter Residential/Other,2008,9,385,2008-09-01
Break and Enter Residential/Other,2008,10,376,2008-10-01
Break and Enter Residential/Other,2008,11,321,2008-11-01
Break and Enter Residential/Other,2008,12,337,2008-12-01
Break and Enter Residential/Other,2009,1,370,2009-01-01
Break and Enter Residential/Other,2009,2,317,2009-02-01
Break and Enter Residential/Other,2009,3,267,2009-03-01
Break and Enter Residential/Other,2009,4,256,2009-04-01
Break and Enter Residential/Other,2009,5,263,2009-05-01
Break and Enter Residential/Other,2009,6,225,2009-06-01
Break and Enter Residential/Other,2009,7,230,2009-07-01
Break and Enter Residential/Other,2009,8,285,2009-08-01
Break and Enter Residential/Other,2009,9,325,2009-09-01
Break and Enter Residential/Other,2009,10,338,2009-10-01
Break and Enter Residential/Other,2009,11,338,2009-11-01
Break and Enter Residential/Other,2009,12,283,2009-12-01
Break and Enter Residential/Other,2010,1,255,2010-01-01
Break and Enter Residential/Other,2010,2,245,2010-02-01
Break and Enter Residential/Other,2010,3,301,2010-03-01
Break and Enter Residential/Other,2010,4,316,2010-04-01
Break and Enter Residential/Other,2010,5,274,2010-05-01
Break and Enter Residential/Other,2010,6,276,2010-06-01
Break and Enter Residential/Other,2010,7,243,2010-07-01
Break and Enter Residential/Other,2010,8,275,2010-08-01
Break and Enter Residential/Other,2010,9,221,2010-09-01
Break and Enter Residential/Other,2010,10,280,2010-10-01
Break and Enter Residential/Other,2010,11,301,2010-11-01
Break and Enter Residential/Other,2010,12,279,2010-12-01
Break and Enter Residential/Other,2011,1,323,2011-01-01
Break and Enter Residential/Other,2011,2,215,2011-02-01
Break and Enter Residential/Other,2011,3,296,2011-03-01
Break and Enter Residential/Other,2011,4,263,2011-04-01
Break and Enter Residential/Other,2011,5,262,2011-05-01
Break and Enter Residential/Other,2011,6,249,2011-06-01
Break and Enter Residential/Other,2011,7,235,2011-07-01
Break and Enter Residential/Other,2011,8,221,2011-08-01
Break and Enter Residential/Other,2011,9,300,2011-09-01
Break and Enter Residential/Other,2011,10,253,2011-10-01
Break and Enter Residential/Other,2011,11,308,2011-11-01
Break and Enter Residential/Other,2011,12,305,2011-12-01
Break and Enter Residential/Other,2012,1,255,2012-01-01
Break and Enter Residential/Other,2012,2,233,2012-02-01
Break and Enter Residential/Other,2012,3,231,2012-03-01
Break and Enter Residential/Other,2012,4,240,2012-04-01
Break and Enter Residential/Other,2012,5,235,2012-05-01
Break and Enter Residential/Other,2012,6,240,2012-06-01
Break and Enter Residential/Other,2012,7,238,2012-07-01
Break and Enter Residential/Other,2012,8,324,2012-08-01
Break and Enter Residential/Other,2012,9,328,2012-09-01
Break and Enter Residential/Other,2012,10,310,2012-10-01
Break and Enter Residential/Other,2012,11,329,2012-11-01
Break and Enter Residential/Other,2012,12,348,2012-12-01
Break and Enter Residential/Other,2013,1,326,2013-01-01
Break and Enter Residential/Other,2013,2,215,2013-02-01
Break and Enter Residential/Other,2013,3,198,2013-03-01
Break and Enter Residential/Other,2013,4,251,2013-04-01
Break and Enter Residential/Other,2013,5,244,2013-05-01
Break and Enter Residential/Other,2013,6,237,2013-06-01
Break and Enter Residential/Other,2013,7,281,2013-07-01
Break and Enter Residential/Other,2013,8,265,2013-08-01
Break and Enter Residential/Other,2013,9,263,2013-09-01
Break and Enter Residential/Other,2013,10,227,2013-10-01
Break and Enter Residential/Other,2013,11,273,2013-11-01
Break and Enter Residential/Other,2013,12,244,2013-12-01
Break and Enter Residential/Other,2014,1,249,2014-01-01
Break and Enter Residential/Other,2014,2,210,2014-02-01
Break and Enter Residential/Other,2014,3,248,2014-03-01
Break and Enter Residential/Other,2014,4,233,2014-04-01
Break and Enter Residential/Other,2014,5,262,2014-05-01
Break and Enter Residential/Other,2014,6,254,2014-06-01
Break and Enter Residential/Other,2014,7,268,2014-07-01
Break and Enter Residential/Other,2014,8,265,2014-08-01
Break and Enter Residential/Other,2014,9,212,2014-09-01
Break and Enter Residential/Other,2014,10,285,2014-10-01
Break and Enter Residential/Other,2014,11,258,2014-11-01
Break and Enter Residential/Other,2014,12,298,2014-12-01
Break and Enter Residential/Other,2015,1,293,2015-01-01
Break and Enter Residential/Other,2015,2,209,2015-02-01
Break and Enter Residential/Other,2015,3,219,2015-03-01
Break and Enter Residential/Other,2015,4,187,2015-04-01
Break and Enter Residential/Other,2015,5,231,2015-05-01
Break and Enter Residential/Other,2015,6,237,2015-06-01
Break and Enter Residential/Other,2015,7,277,2015-07-01
Break and Enter Residential/Other,2015,8,238,2015-08-01
Break and Enter Residential/Other,2015,9,251,2015-09-01
Break and Enter Residential/Other,2015,10,290,2015-10-01
Break and Enter Residential/Other,2015,11,307,2015-11-01
Break and Enter Residential/Other,2015,12,377,2015-12-01
Break and Enter Residential/Other,2016,1,346,2016-01-01
Break and Enter Residential/Other,2016,2,272,2016-02-01
Break and Enter Residential/Other,2016,3,269,2016-03-01
Break and Enter Residential/Other,2016,4,232,2016-04-01
Break and Enter Residential/Other,2016,5,207,2016-05-01
Break and Enter Residential/Other,2016,6,218,2016-06-01
Break and Enter Residential/Other,2016,7,235,2016-07-01
Break and Enter Residential/Other,2016,8,259,2016-08-01
Break and Enter Residential/Other,2016,9,234,2016-09-01
Break and Enter Residential/Other,2016,10,217,2016-10-01
Break and Enter Residential/Other,2016,11,269,2016-11-01
Break and Enter Residential/Other,2016,12,230,2016-12-01
Break and Enter Residential/Other,2017,1,184,2017-01-01
Break and Enter Residential/Other,2017,2,158,2017-02-01
Break and Enter Residential/Other,2017,3,226,2017-03-01
Break and Enter Residential/Other,2017,4,211,2017-04-01
Break and Enter Residential/Other,2017,5,214,2017-05-01
Break and Enter Residential/Other,2017,6,199,2017-06-01
Break and Enter Residential/Other,2017,7,241,2017-07-01
Break and Enter Residential/Other,2017,8,219,2017-08-01
Break and Enter Residential/Other,2017,9,203,2017-09-01
Break and Enter Residential/Other,2017,10,177,2017-10-01
Break and Enter Residential/Other,2017,11,244,2017-11-01
Break and Enter Residential/Other,2017,12,178,2017-12-01
Break and Enter Residential/Other,2018,1,243,2018-01-01
Break and Enter Residential/Other,2018,2,179,2018-02-01
Break and Enter Residential/Other,2018,3,203,2018-03-01
Break and Enter Residential/Other,2018,4,209,2018-04-01
Break and Enter Residential/Other,2018,5,223,2018-05-01
Break and Enter Residential/Other,2018,6,217,2018-06-01
Break and Enter Residential/Other,2018,7,164,2018-07-01
Break and Enter Residential/Other,2018,8,163,2018-08-01
Break and Enter Residential/Other,2018,9,192,2018-09-01
Break and Enter Residential/Other,2018,10,190,2018-10-01
Break and Enter Residential/Other,2018,11,195,2018-11-01
Break and Enter Residential/Other,2018,12,213,2018-12-01
Break and Enter Residential/Other,2019,1,157,2019-01-01
Break and Enter Residential/Other,2019,2,152,2019-02-01
Break and Enter Residential/Other,2019,3,137,2019-03-01
Break and Enter Residential/Other,2019,4,151,2019-04-01
Break and Enter Residential/Other,2019,5,179,2019-05-01
Break and Enter Residential/Other,2019,6,158,2019-06-01
Break and Enter Residential/Other,2019,7,179,2019-07-01
Break and Enter Residential/Other,2019,8,212,2019-08-01
Break and Enter Residential/Other,2019,9,217,2019-09-01
Break and Enter Residential/Other,2019,10,269,2019-10-01
Break and Enter Residential/Other,2019,11,228,2019-11-01
Break and Enter Residential/Other,2019,12,230,2019-12-01
Break and Enter Residential/Other,2020,1,218,2020-01-01
Break and Enter Residential/Other,2020,2,182,2020-02-01
Break and Enter Residential/Other,2020,3,208,2020-03-01
Break and Enter Residential/Other,2020,4,176,2020-04-01
Break and Enter Residential/Other,2020,5,150,2020-05-01
Break and Enter Residential/Other,2020,6,147,2020-06-01
Break and Enter Residential/Other,2020,7,199,2020-07-01
Break and Enter Residential/Other,2020,8,176,2020-08-01
Break and Enter Residential/Other,2020,9,170,2020-09-01
Break and Enter Residential/Other,2020,10,165,2020-10-01
Break and Enter Residential/Other,2020,11,124,2020-11-01
Break and Enter Residential/Other,2020,12,168,2020-12-01
Break and Enter Residential/Other,2021,1,142,2021-01-01
Break and Enter Residential/Other,2021,2,135,2021-02-01
Break and Enter Residential/Other,2021,3,120,2021-03-01
Break and Enter Residential/Other,2021,4,139,2021-04-01
Break and Enter Residential/Other,2021,5,171,2021-05-01
Break and Enter Residential/Other,2021,6,147,2021-06-01
Break and Enter Residential/Other,2021,7,128,2021-07-01
Break and Enter Residential/Other,2021,8,115,2021-08-01
Break and Enter Residential/Other,2021,9,98,2021-09-01
Break and Enter Residential/Other,2021,10,92,2021-10-01
Break and Enter Residential/Other,2021,11,101,2021-11-01
Break and Enter Residential/Other,2021,12,102,2021-12-01
Break and Enter Residential/Other,2022,1,101,2022-01-01
Break and Enter Residential/Other,2022,2,120,2022-02-01
Break and Enter Residential/Other,2022,3,116,2022-03-01
Break and Enter Residential/Other,2022,4,115,2022-04-01
Break and Enter Residential/Other,2022,5,106,2022-05-01
Break and Enter Residential/Other,2022,6,109,2022-06-01
Break and Enter Residential/Other,2022,7,124,2022-07-01
Break and Enter Residential/Other,2022,8,88,2022-08-01
Break and Enter Residential/Other,2022,9,80,2022-09-01
Break and Enter Residential/Other,2022,10,121,2022-10-01
Break and Enter Residential/Other,2022,11,76,2022-11-01
Break and Enter Residential/Other,2022,12,110,2022-12-01
Break and Enter Residential/Other,2023,1,105,2023-01-01
Break and Enter Residential/Other,2023,2,85,2023-02-01
Break and Enter Residential/Other,2023,3,119,2023-03-01
Break and Enter Residential/Other,2023,4,97,2023-04-01
Break and Enter Residential/Other,2023,5,108,2023-05-01
Break and Enter Residential/Other,2023,6,115,2023-06-01
Break and Enter Residential/Other,2023,7,95,2023-07-01
Break and Enter Residential/Other,2023,8,95,2023-08-01
Break and Enter Residential/Other,2023,9,100,2023-09-01
Break and Enter Residential/Other,2023,10,115,2023-10-01
Homicide,2003,3,1,2003-03-01
Homicide,2003,4,1,2003-04-01
Homicide,2003,5,2,2003-05-01
Homicide,2003,7,2,2003-07-01
Homicide,2003,8,4,2003-08-01
Homicide,2003,9,1,2003-09-01
Homicide,2003,10,1,2003-10-01
Homicide,2003,11,4,2003-11-01
Homicide,2003,12,1,2003-12-01
Homicide,2004,1,2,2004-01-01
Homicide,2004,2,2,2004-02-01
Homicide,2004,3,2,2004-03-01
Homicide,2004,4,3,2004-04-01
Homicide,2004,5,3,2004-05-01
Homicide,2004,7,2,2004-07-01
Homicide,2004,8,3,2004-08-01
Homicide,2004,9,3,2004-09-01
Homicide,2004,11,2,2004-11-01
Homicide,2005,1,2,2005-01-01
Homicide,2005,2,1,2005-02-01
Homicide,2005,3,1,2005-03-01
Homicide,2005,4,1,2005-04-01
Homicide,2005,5,3,2005-05-01
Homicide,2005,6,2,2005-06-01
Homicide,2005,7,1,2005-07-01
Homicide,2005,8,2,2005-08-01
Homicide,2005,9,2,2005-09-01
Homicide,2005,10,1,2005-10-01
Homicide,2005,11,2,2005-11-01
Homicide,2005,12,4,2005-12-01
Homicide,2006,1,1,2006-01-01
Homicide,2006,2,2,2006-02-01
Homicide,2006,3,3,2006-03-01
Homicide,2006,4,2,2006-04-01
Homicide,2006,5,4,2006-05-01
Homicide,2006,7,2,2006-07-01
Homicide,2006,8,2,2006-08-01
Homicide,2006,10,1,2006-10-01
Homicide,2006,11,1,2006-11-01
Homicide,2007,2,4,2007-02-01
Homicide,2007,3,1,2007-03-01
Homicide,2007,5,2,2007-05-01
Homicide,2007,6,2,2007-06-01
Homicide,2007,8,4,2007-08-01
Homicide,2007,9,2,2007-09-01
Homicide,2007,10,1,2007-10-01
Homicide,2007,11,2,2007-11-01
Homicide,2007,12,1,2007-12-01
Homicide,2008,1,2,2008-01-01
