,TYPE,YEAR,MONTH,Observations,YEAR-MONTH
36,Break and Enter Commercial,2006,1,277,2006-01-01
37,Break and Enter Commercial,2006,2,209,2006-02-01
38,Break and Enter Commercial,2006,3,242,2006-03-01
39,Break and Enter Commercial,2006,4,241,2006-04-01
40,Break and Enter Commercial,2006,5,271,2006-05-01
41,Break and Enter Commercial,2006,6,224,2006-06-01
42,Break and Enter Commercial,2006,7,238,2006-07-01
43,Break and Enter Commercial,2006,8,223,2006-08-01
44,Break and Enter Commercial,2006,9,201,2006-09-01
45,Break and Enter Commercial,2006,10,233,2006-10-01
46,Break and Enter Commercial,2006,11,206,2006-11-01
47,Break and Enter Commercial,2006,12,280,2006-12-01
48,Break and Enter Commercial,2007,1,290,2007-01-01
49,Break and Enter Commercial,2007,2,174,2007-02-01
50,Break and Enter Commercial,2007,3,214,2007-03-01
51,Break and Enter Commercial,2007,4,192,2007-04-01
52,Break and Enter Commercial,2007,5,187,2007-05-01
53,Break and Enter Commercial,2007,6,210,2007-06-01
54,Break and Enter Commercial,2007,7,207,2007-07-01
55,Break and Enter Commercial,2007,8,245,2007-08-01
56,Break and Enter Commercial,2007,9,216,2007-09-01
57,Break and Enter Commercial,2007,10,172,2007-10-01
58,Break and Enter Commercial,2007,11,177,2007-11-01
59,Break and Enter Commercial,2007,12,151,2007-12-01
60,Break and Enter Commercial,2008,1,201,2008-01-01
61,Break and Enter Commercial,2008,2,192,2008-02-01
62,Break and Enter Commercial,2008,3,243,2008-03-01
63,Break and Enter Commercial,2008,4,186,2008-04-01
64,Break and Enter Commercial,2008,5,196,2008-05-01
65,Break and Enter Commercial,2008,6,174,2008-06-01
66,Break and Enter Commercial,2008,7,188,2008-07-01
67,Break and Enter Commercial,2008,8,201,2008-08-01
68,Break and Enter Commercial,2008,9,159,2008-09-01
69,Break and Enter Commercial,2008,10,179,2008-10-01
70,Break and Enter Commercial,2008,11,139,2008-11-01
71,Break and Enter Commercial,2008,12,167,2008-12-01
72,Break and Enter Commercial,2009,1,179,2009-01-01
73,Break and Enter Commercial,2009,2,153,2009-02-01
74,Break and Enter Commercial,2009,3,151,2009-03-01
75,Break and Enter Commercial,2009,4,136,2009-04-01
76,Break and Enter Commercial,2009,5,185,2009-05-01
77,Break and Enter Commercial,2009,6,154,2009-06-01
78,Break and Enter Commercial,2009,7,142,2009-07-01
79,Break and Enter Commercial,2009,8,157,2009-08-01
80,Break and Enter Commercial,2009,9,152,2009-09-01
81,Break and Enter Commercial,2009,10,167,2009-10-01
82,Break and Enter Commercial,2009,11,155,2009-11-01
83,Break and Enter Commercial,2009,12,128,2009-12-01
84,Break and Enter Commercial,2010,1,126,2010-01-01
85,Break and Enter Commercial,2010,2,109,2010-02-01
86,Break and Enter Commercial,2010,3,159,2010-03-01
87,Break and Enter Commercial,2010,4,143,2010-04-01
88,Break and Enter Commercial,2010,5,139,2010-05-01
89,Break and Enter Commercial,2010,6,132,2010-06-01
90,Break and Enter Commercial,2010,7,122,2010-07-01
91,Break and Enter Commercial,2010,8,175,2010-08-01
92,Break and Enter Commercial,2010,9,150,2010-09-01
93,Break and Enter Commercial,2010,10,151,2010-10-01
94,Break and Enter Commercial,2010,11,110,2010-11-01
95,Break and Enter Commercial,2010,12,143,2010-12-01
96,Break and Enter Commercial,2011,1,149,2011-01-01
97,Break and Enter Commercial,2011,2,143,2011-02-01
98,Break and Enter Commercial,2011,3,139,2011-03-01
99,Break and Enter Commercial,2011,4,118,2011-04-01
100,Break and Enter Commercial,2011,5,124,2011-05-01
101,Break and Enter Commercial,2011,6,305,2011-06-01
102,Break and Enter Commercial,2011,7,146,2011-07-01
103,Break and Enter Commercial,2011,8,150,2011-08-01
104,Break and Enter Commercial,2011,9,139,2011-09-01
105,Break and Enter Commercial,2011,10,121,2011-10-01
106,Break and Enter Commercial,2011,11,92,2011-11-01
107,Break and Enter Commercial,2011,12,124,2011-12-01
108,Break and Enter Commercial,2012,1,156,2012-01-01
109,Break and Enter Commercial,2012,2,118,2012-02-01
110,Break and Enter Commercial,2012,3,165,2012-03-01
111,Break and Enter Commercial,2012,4,155,2012-04-01
112,Break and Enter Commercial,2012,5,133,2012-05-01
113,Break and Enter Commercial,2012,6,136,2012-06-01
114,Break and Enter Commercial,2012,7,105,2012-07-01
115,Break and Enter Commercial,2012,8,114,2012-08-01
116,Break and Enter Commercial,2012,9,122,2012-09-01
117,Break and Enter Commercial,2012,10,145,2012-10-01
118,Break and Enter Commercial,2012,11,172,2012-11-01
119,Break and Enter Commercial,2012,12,166,2012-12-01
120,Break and Enter Commercial,2013,1,136,2013-01-01
121,Break and Enter Commercial,2013,2,155,2013-02-01
122,Break and Enter Commercial,2013,3,195,2013-03-01
123,Break and Enter Commercial,2013,4,177,2013-04-01
124,Break and Enter Commercial,2013,5,116,2013-05-01
125,Break and Enter Commercial,2013,6,152,2013-06-01
126,Break and Enter Commercial,2013,7,134,2013-07-01
127,Break and Enter Commercial,2013,8,121,2013-08-01
128,Break and Enter Commercial,2013,9,116,2013-09-01
129,Break and Enter Commercial,2013,10,137,2013-10-01
130,Break and Enter Commercial,2013,11,151,2013-11-01
131,Break and Enter Commercial,2013,12,180,2013-12-01
132,Break and Enter Commercial,2014,1,186,2014-01-01
133,Break and Enter Commercial,2014,2,163,2014-02-01
134,Break and Enter Commercial,2014,3,183,2014-03-01
135,Break and Enter Commercial,2014,4,198,2014-04-01
136,Break and Enter Commercial,2014,5,195,2014-05-01
137,Break and Enter Commercial,2014,6,167,2014-06-01
138,Break and Enter Commercial,2014,7,160,2014-07-01
139,Break and Enter Commercial,2014,8,170,2014-08-01
140,Break and Enter Commercial,2014,9,213,2014-09-01
141,Break and Enter Commercial,2014,10,200,2014-10-01
142,Break and Enter Commercial,2014,11,205,2014-11-01
143,Break and Enter Commercial,2014,12,201,2014-12-01
144,Break and Enter Commercial,2015,1,228,2015-01-01
145,Break and Enter Commercial,2015,2,186,2015-02-01
146,Break and Enter Commercial,2015,3,192,2015-03-01
147,Break and Enter Commercial,2015,4,179,2015-04-01
148,Break and Enter Commercial,2015,5,189,2015-05-01
149,Break and Enter Commercial,2015,6,212,2015-06-01
150,Break and Enter Commercial,2015,7,214,2015-07-01
151,Break and Enter Commercial,2015,8,198,2015-08-01
152,Break and Enter Commercial,2015,9,189,2015-09-01
153,Break and Enter Commercial,2015,10,234,2015-10-01
154,Break and Enter Commercial,2015,11,206,2015-11-01
155,Break and Enter Commercial,2015,12,225,2015-12-01
156,Break and Enter Commercial,2016,1,260,2016-01-01
157,Break and Enter Commercial,2016,2,206,2016-02-01
158,Break and Enter Commercial,2016,3,244,2016-03-01
159,Break and Enter Commercial,2016,4,219,2016-04-01
160,Break and Enter Commercial,2016,5,226,2016-05-01
161,Break and Enter Commercial,2016,6,234,2016-06-01
162,Break and Enter Commercial,2016,7,240,2016-07-01
163,Break and Enter Commercial,2016,8,197,2016-08-01
164,Break and Enter Commercial,2016,9,219,2016-09-01
165,Break and Enter Commercial,2016,10,200,2016-10-01
166,Break and Enter Commercial,2016,11,230,2016-11-01
167,Break and Enter Commercial,2016,12,207,2016-12-01
168,Break and Enter Commercial,2017,1,164,2017-01-01
169,Break and Enter Commercial,2017,2,185,2017-02-01
170,Break and Enter Commercial,2017,3,231,2017-03-01
171,Break and Enter Commercial,2017,4,187,2017-04-01
172,Break and Enter Commercial,2017,5,186,2017-05-01
173,Break and Enter Commercial,2017,6,142,2017-06-01
174,Break and Enter Commercial,2017,7,157,2017-07-01
175,Break and Enter Commercial,2017,8,171,2017-08-01
176,Break and Enter Commercial,2017,9,164,2017-09-01
177,Break and Enter Commercial,2017,10,192,2017-10-01
178,Break and Enter Commercial,2017,11,206,2017-11-01
179,Break and Enter Commercial,2017,12,207,2017-12-01
180,Break and Enter Commercial,2018,1,216,2018-01-01
181,Break and Enter Commercial,2018,2,192,2018-02-01
182,Break and Enter Commercial,2018,3,177,2018-03-01
183,Break and Enter Commercial,2018,4,166,2018-04-01
184,Break and Enter Commercial,2018,5,141,2018-05-01
185,Break and Enter Commercial,2018,6,176,2018-06-01
186,Break and Enter Commercial,2018,7,130,2018-07-01
187,Break and Enter Commercial,2018,8,134,2018-08-01
188,Break and Enter Commercial,2018,9,193,2018-09-01
189,Break and Enter Commercial,2018,10,152,2018-10-01
190,Break and Enter Commercial,2018,11,170,2018-11-01
191,Break and Enter Commercial,2018,12,173,2018-12-01
192,Break and Enter Commercial,2019,1,174,2019-01-01
193,Break and Enter Commercial,2019,2,134,2019-02-01
194,Break and Enter Commercial,2019,3,167,2019-03-01
195,Break and Enter Commercial,2019,4,152,2019-04-01
196,Break and Enter Commercial,2019,5,188,2019-05-01
197,Break and Enter Commercial,2019,6,209,2019-06-01
198,Break and Enter Commercial,2019,7,218,2019-07-01
199,Break and Enter Commercial,2019,8,221,2019-08-01
200,Break and Enter Commercial,2019,9,241,2019-09-01
201,Break and Enter Commercial,2019,10,258,2019-10-01
202,Break and Enter Commercial,2019,11,264,2019-11-01
203,Break and Enter Commercial,2019,12,264,2019-12-01
204,Break and Enter Commercial,2020,1,254,2020-01-01
205,Break and Enter Commercial,2020,2,243,2020-02-01
206,Break and Enter Commercial,2020,3,336,2020-03-01
207,Break and Enter Commercial,2020,4,375,2020-04-01
208,Break and Enter Commercial,2020,5,213,2020-05-01
209,Break and Enter Commercial,2020,6,171,2020-06-01
210,Break and Enter Commercial,2020,7,153,2020-07-01
211,Break and Enter Commercial,2020,8,158,2020-08-01
212,Break and Enter Commercial,2020,9,223,2020-09-01
213,Break and Enter Commercial,2020,10,259,2020-10-01
214,Break and Enter Commercial,2020,11,207,2020-11-01
215,Break and Enter Commercial,2020,12,196,2020-12-01
216,Break and Enter Commercial,2021,1,237,2021-01-01
217,Break and Enter Commercial,2021,2,184,2021-02-01
218,Break and Enter Commercial,2021,3,173,2021-03-01
219,Break and Enter Commercial,2021,4,179,2021-04-01
220,Break and Enter Commercial,2021,5,180,2021-05-01
221,Break and Enter Commercial,2021,6,180,2021-06-01
222,Break and Enter Commercial,2021,7,166,2021-07-01
223,Break and Enter Commercial,2021,8,154,2021-08-01
224,Break and Enter Commercial,2021,9,150,2021-09-01
225,Break and Enter Commercial,2021,10,156,2021-10-01
226,Break and Enter Commercial,2021,11,144,2021-11-01
227,Break and Enter Commercial,2021,12,175,2021-12-01
228,Break and Enter Commercial,2022,1,226,2022-01-01
229,Break and Enter Commercial,2022,2,204,2022-02-01
230,Break and Enter Commercial,2022,3,180,2022-03-01
231,Break and Enter Commercial,2022,4,162,2022-04-01
232,Break and Enter Commercial,2022,5,154,2022-05-01
233,Break and Enter Commercial,2022,6,146,2022-06-01
234,Break and Enter Commercial,2022,7,141,2022-07-01
235,Break and Enter Commercial,2022,8,179,2022-08-01
236,Break and Enter Commercial,2022,9,166,2022-09-01
237,Break and Enter Commercial,2022,10,142,2022-10-01
238,Break and Enter Commercial,2022,11,132,2022-11-01
239,Break and Enter Commercial,2022,12,154,2022-12-01
240,Break and Enter Commercial,2023,1,161,2023-01-01
241,Break and Enter Commercial,2023,2,146,2023-02-01
242,Break and Enter Commercial,2023,3,202,2023-03-01
243,Break and Enter Commercial,2023,4,175,2023-04-01
244,Break and Enter Commercial,2023,5,140,2023-05-01
245,Break and Enter Commercial,2023,6,157,2023-06-01
246,Break and Enter Commercial,2023,7,132,2023-07-01
247,Break and Enter Commercial,2023,8,133,2023-08-01
248,Break and Enter Commercial,2023,9,167,2023-09-01
249,Break and Enter Commercial,2023,10,130,2023-10-01
251,Break and Enter Residential/Other,2003,1,643,2003-01-01
252,Break and Enter Residential/Other,2003,2,507,2003-02-01
253,Break and Enter Residential/Other,2003,3,515,2003-03-01
254,Break and Enter Residential/Other,2003,4,608,2003-04-01
255,Break and Enter Residential/Other,2003,5,565,2003-05-01
256,Break and Enter Residential/Other,2003,6,531,2003-06-01
257,Break and Enter Residential/Other,2003,7,535,2003-07-01
258,Break and Enter Residential/Other,2003,8,502,2003-08-01
259,Break and Enter Residential/Other,2003,9,631,2003-09-01
260,Break and Enter Residential/Other,2003,10,643,2003-10-01
261,Break and Enter Residential/Other,2003,11,616,2003-11-01
262,Break and Enter Residential/Other,2003,12,588,2003-12-01
263,Break and Enter Residential/Other,2004,1,584,2004-01-01
264,Break and Enter Residential/Other,2004,2,524,2004-02-01
265,Break and Enter Residential/Other,2004,3,541,2004-03-01
266,Break and Enter Residential/Other,2004,4,553,2004-04-01
267,Break and Enter Residential/Other,2004,5,559,2004-05-01
268,Break and Enter Residential/Other,2004,6,516,2004-06-01
269,Break and Enter Residential/Other,2004,7,435,2004-07-01
270,Break and Enter Residential/Other,2004,8,517,2004-08-01
271,Break and Enter Residential/Other,2004,9,561,2004-09-01
272,Break and Enter Residential/Other,2004,10,611,2004-10-01
273,Break and Enter Residential/Other,2004,11,580,2004-11-01
274,Break and Enter Residential/Other,2004,12,553,2004-12-01
275,Break and Enter Residential/Other,2005,1,553,2005-01-01
276,Break and Enter Residential/Other,2005,2,429,2005-02-01
277,Break and Enter Residential/Other,2005,3,490,2005-03-01
278,Break and Enter Residential/Other,2005,4,470,2005-04-01
279,Break and Enter Residential/Other,2005,5,524,2005-05-01
280,Break and Enter Residential/Other,2005,6,482,2005-06-01
281,Break and Enter Residential/Other,2005,7,430,2005-07-01
282,Break and Enter Residential/Other,2005,8,429,2005-08-01
283,Break and Enter Residential/Other,2005,9,454,2005-09-01
284,Break and Enter Residential/Other,2005,10,476,2005-10-01
285,Break and Enter Residential/Other,2005,11,406,2005-11-01
286,Break and Enter Residential/Other,2005,12,395,2005-12-01
287,Break and Enter Residential/Other,2006,1,483,2006-01-01
288,Break and Enter Residential/Other,2006,2,400,2006-02-01
289,Break and Enter Residential/Other,2006,3,464,2006-03-01
290,Break and Enter Residential/Other,2006,4,391,2006-04-01
291,Break and Enter Residential/Other,2006,5,404,2006-05-01
292,Break and Enter Residential/Other,2006,6,462,2006-06-01
293,Break and Enter Residential/Other,2006,7,491,2006-07-01
294,Break and Enter Residential/Other,2006,8,436,2006-08-01
295,Break and Enter Residential/Other,2006,9,488,2006-09-01
296,Break and Enter Residential/Other,2006,10,600,2006-10-01
297,Break and Enter Residential/Other,2006,11,510,2006-11-01
298,Break and Enter Residential/Other,2006,12,543,2006-12-01
299,Break and Enter Residential/Other,2007,1,487,2007-01-01
300,Break and Enter Residential/Other,2007,2,381,2007-02-01
301,Break and Enter Residential/Other,2007,3,397,2007-03-01
302,Break and Enter Residential/Other,2007,4,408,2007-04-01
303,Break and Enter Residential/Other,2007,5,414,2007-05-01
304,Break and Enter Residential/Other,2007,6,455,2007-06-01
305,Break and Enter Residential/Other,2007,7,436,2007-07-01
306,Break and Enter Residential/Other,2007,8,456,2007-08-01
307,Break and Enter Residential/Other,2007,9,364,2007-09-01
308,Break and Enter Residential/Other,2007,10,386,2007-10-01
309,Break and Enter Residential/Other,2007,11,454,2007-11-01
310,Break and Enter Residential/Other,2007,12,358,2007-12-01
311,Break and Enter Residential/Other,2008,1,432,2008-01-01
312,Break and Enter Residential/Other,2008,2,404,2008-02-01
313,Break and Enter Residential/Other,2008,3,375,2008-03-01
314,Break and Enter Residential/Other,2008,4,337,2008-04-01
315,Break and Enter Residential/Other,2008,5,368,2008-05-01
316,Break and Enter Residential/Other,2008,6,376,2008-06-01
317,Break and Enter Residential/Other,2008,7,364,2008-07-01
318,Break and Enter Residential/Other,2008,8,353,2008-08-01
319,Break and Enter Residential/Other,2008,9,385,2008-09-01
320,Break and Enter Residential/Other,2008,10,376,2008-10-01
321,Break and Enter Residential/Other,2008,11,321,2008-11-01
322,Break and Enter Residential/Other,2008,12,337,2008-12-01
323,Break and Enter Residential/Other,2009,1,370,2009-01-01
324,Break and Enter Residential/Other,2009,2,317,2009-02-01
325,Break and Enter Residential/Other,2009,3,267,2009-03-01
326,Break and Enter Residential/Other,2009,4,256,2009-04-01
327,Break and Enter Residential/Other,2009,5,263,2009-05-01
328,Break and Enter Residential/Other,2009,6,225,2009-06-01
329,Break and Enter Residential/Other,2009,7,230,2009-07-01
330,Break and Enter Residential/Other,2009,8,285,2009-08-01
331,Break and Enter Residential/Other,2009,9,325,2009-09-01
332,Break and Enter Residential/Other,2009,10,338,2009-10-01
333,Break and Enter Residential/Other,2009,11,338,2009-11-01
334,Break and Enter Residential/Other,2009,12,283,2009-12-01
335,Break and Enter Residential/Other,2010,1,255,2010-01-01
336,Break and Enter Residential/Other,2010,2,245,2010-02-01
337,Break and Enter Residential/Other,2010,3,301,2010-03-01
338,Break and Enter Residential/Other,2010,4,316,2010-04-01
339,Break and Enter Residential/Other,2010,5,274,2010-05-01
340,Break and Enter Residential/Other,2010,6,276,2010-06-01
341,Break and Enter Residential/Other,2010,7,243,2010-07-01
342,Break and Enter Residential/Other,2010,8,275,2010-08-01
343,Break and Enter Residential/Other,2010,9,221,2010-09-01
344,Break and Enter Residential/Other,2010,10,280,2010-10-01
345,Break and Enter Residential/Other,2010,11,301,2010-11-01
346,Break and Enter Residential/Other,2010,12,279,2010-12-01
347,Break and Enter Residential/Other,2011,1,323,2011-01-01
348,Break and Enter Residential/Other,2011,2,215,2011-02-01
349,Break and Enter Residential/Other,2011,3,296,2011-03-01
350,Break and Enter Residential/Other,2011,4,263,2011-04-01
351,Break and Enter Residential/Other,2011,5,262,2011-05-01
352,Break and Enter Residential/Other,2011,6,249,2011-06-01
353,Break and Enter Residential/Other,2011,7,235,2011-07-01
354,Break and Enter Residential/Other,2011,8,221,2011-08-01
355,Break and Enter Residential/Other,2011,9,300,2011-09-01
356,Break and Enter Residential/Other,2011,10,253,2011-10-01
357,Break and Enter Residential/Other,2011,11,308,2011-11-01
358,Break and Enter Residential/Other,2011,12,305,2011-12-01
359,Break and Enter Residential/Other,2012,1,255,2012-01-01
360,Break and Enter Residential/Other,2012,2,233,2012-02-01
361,Break and Enter Residential/Other,2012,3,231,2012-03-01
362,Break and Enter Residential/Other,2012,4,240,2012-04-01
363,Break and Enter Residential/Other,2012,5,235,2012-05-01
364,Break and Enter Residential/Other,2012,6,240,2012-06-01
365,Break and Enter Residential/Other,2012,7,238,2012-07-01
366,Break and Enter Residential/Other,2012,8,324,2012-08-01
367,Break and Enter Residential/Other,2012,9,328,2012-09-01
368,Break and Enter Residential/Other,2012,10,310,2012-10-01
369,Break and Enter Residential/Other,2012,11,329,2012-11-01
370,Break and Enter Residential/Other,2012,12,348,2012-12-01
371,Break and Enter Residential/Other,2013,1,326,2013-01-01
372,Break and Enter Residential/Other,2013,2,215,2013-02-01
373,Break and Enter Residential/Other,2013,3,198,2013-03-01
374,Break and Enter Residential/Other,2013,4,251,2013-04-01
375,Break and Enter Residential/Other,2013,5,244,2013-05-01
376,Break and Enter Residential/Other,2013,6,237,2013-06-01
377,Break and Enter Residential/Other,2013,7,281,2013-07-01
378,Break and Enter Residential/Other,2013,8,265,2013-08-01
379,Break and Enter Residential/Other,2013,9,263,2013-09-01
380,Break and Enter Residential/Other,2013,10,227,2013-10-01
381,Break and Enter Residential/Other,2013,11,273,2013-11-01
382,Break and Enter Residential/Other,2013,12,244,2013-12-01
383,Break and Enter Residential/Other,2014,1,249,2014-01-01
384,Break and Enter Residential/Other,2014,2,210,2014-02-01
385,Break and Enter Residential/Other,2014,3,248,2014-03-01
386,Break and Enter Residential/Other,2014,4,233,2014-04-01
387,Break and Enter Residential/Other,2014,5,262,2014-05-01
388,Break and Enter Residential/Other,2014,6,254,2014-06-01
389,Break and Enter Residential/Other,2014,7,268,2014-07-01
390,Break and Enter Residential/Other,2014,8,265,2014-08-01
391,Break and Enter Residential/Other,2014,9,212,2014-09-01
392,Break and Enter Residential/Other,2014,10,285,2014-10-01
393,Break and Enter Residential/Other,2014,11,258,2014-11-01
394,Break and Enter Residential/Other,2014,12,298,2014-12-01
395,Break and Enter Residential/Other,2015,1,293,2015-01-01
396,Break and Enter Residential/Other,2015,2,209,2015-02-01
397,Break and Enter Residential/Other,2015,3,219,2015-03-01
398,Break and Enter Residential/Other,2015,4,187,2015-04-01
399,Break and Enter Residential/Other,2015,5,231,2015-05-01
400,Break and Enter Residential/Other,2015,6,237,2015-06-01
401,Break and Enter Residential/Other,2015,7,277,2015-07-01
402,Break and Enter Residential/Other,2015,8,238,2015-08-01
403,Break and Enter Residential/Other,2015,9,251,2015-09-01
404,Break and Enter Residential/Other,2015,10,290,2015-10-01
405,Break and Enter Residential/Other,2015,11,307,2015-11-01
406,Break and Enter Residential/Other,2015,12,377,2015-12-01
407,Break and Enter Residential/Other,2016,1,346,2016-01-01
408,Break and Enter Residential/Other,2016,2,272,2016-02-01
409,Break and Enter Residential/Other,2016,3,269,2016-03-01
410,Break and Enter Residential/Other,2016,4,232,2016-04-01
411,Break and Enter Residential/Other,2016,5,207,2016-05-01
412,Break and Enter Residential/Other,2016,6,218,2016-06-01
413,Break and Enter Residential/Other,2016,7,235,2016-07-01
414,Break and Enter Residential/Other,2016,8,259,2016-08-01
415,Break and Enter Residential/Other,2016,9,234,2016-09-01
416,Break and Enter Residential/Other,2016,10,217,2016-10-01
417,Break and Enter Residential/Other,2016,11,269,2016-11-01
418,Break and Enter Residential/Other,2016,12,230,2016-12-01
419,Break and Enter Residential/Other,2017,1,184,2017-01-01
420,Break and Enter Residential/Other,2017,2,158,2017-02-01
421,Break and Enter Residential/Other,2017,3,226,2017-03-01
422,Break and Enter Residential/Other,2017,4,211,2017-04-01
423,Break and Enter Residential/Other,2017,5,214,2017-05-01
424,Break and Enter Residential/Other,2017,6,199,2017-06-01
425,Break and Enter Residential/Other,2017,7,241,2017-07-01
426,Break and Enter Residential/Other,2017,8,219,2017-08-01
427,Break and Enter Residential/Other,2017,9,203,2017-09-01
428,Break and Enter Residential/Other,2017,10,177,2017-10-01
429,Break and Enter Residential/Other,2017,11,244,2017-11-01
430,Break and Enter Residential/Other,2017,12,178,2017-12-01
431,Break and Enter Residential/Other,2018,1,243,2018-01-01
432,Break and Enter Residential/Other,2018,2,179,2018-02-01
433,Break and Enter Residential/Other,2018,3,203,2018-03-01
434,Break and Enter Residential/Other,2018,4,209,2018-04-01
435,Break and Enter Residential/Other,2018,5,223,2018-05-01
436,Break and Enter Residential/Other,2018,6,217,2018-06-01
437,Break and Enter Residential/Other,2018,7,164,2018-07-01
438,Break and Enter Residential/Other,2018,8,163,2018-08-01
439,Break and Enter Residential/Other,2018,9,192,2018-09-01
440,Break and Enter Residential/Other,2018,10,190,2018-10-01
441,Break and Enter Residential/Other,2018,11,195,2018-11-01
442,Break and Enter Residential/Other,2018,12,213,2018-12-01
443,Break and Enter Residential/Other,2019,1,157,2019-01-01
444,Break and Enter Residential/Other,2019,2,152,2019-02-01
445,Break and Enter Residential/Other,2019,3,137,2019-03-01
446,Break and Enter Residential/Other,2019,4,151,2019-04-01
447,Break and Enter Residential/Other,2019,5,179,2019-05-01
448,Break and Enter Residential/Other,2019,6,158,2019-06-01
449,Break and Enter Residential/Other,2019,7,179,2019-07-01
450,Break and Enter Residential/Other,2019,8,212,2019-08-01
451,Break and Enter Residential/Other,2019,9,217,2019-09-01
452,Break and Enter Residential/Other,2019,10,269,2019-10-01
453,Break and Enter Residential/Other,2019,11,228,2019-11-01
454,Break and Enter Residential/Other,2019,12,230,2019-12-01
455,Break and Enter Residential/Other,2020,1,218,2020-01-01
456,Break and Enter Residential/Other,2020,2,182,2020-02-01
457,Break and Enter Residential/Other,2020,3,208,2020-03-01
458,Break and Enter Residential/Other,2020,4,176,2020-04-01
459,Break and Enter Residential/Other,2020,5,150,2020-05-01
460,Break and Enter Residential/Other,2020,6,147,2020-06-01
461,Break and Enter Residential/Other,2020,7,199,2020-07-01
462,Break and Enter Residential/Other,2020,8,176,2020-08-01
463,Break and Enter Residential/Other,2020,9,170,2020-09-01
464,Break and Enter Residential/Other,2020,10,165,2020-10-01
465,Break and Enter Residential/Other,2020,11,124,2020-11-01
466,Break and Enter Residential/Other,2020,12,168,2020-12-01
467,Break and Enter Residential/Other,2021,1,142,2021-01-01
468,Break and Enter Residential/Other,2021,2,135,2021-02-01
469,Break and Enter Residential/Other,2021,3,120,2021-03-01
470,Break and Enter Residential/Other,2021,4,139,2021-04-01
471,Break and Enter Residential/Other,2021,5,171,2021-05-01
472,Break and Enter Residential/Other,2021,6,147,2021-06-01
473,Break and Enter Residential/Other,2021,7,128,2021-07-01
474,Break and Enter Residential/Other,2021,8,115,2021-08-01
475,Break and Enter Residential/Other,2021,9,98,2021-09-01
476,Break and Enter Residential/Other,2021,10,92,2021-10-01
477,Break and Enter Residential/Other,2021,11,101,2021-11-01
478,Break and Enter Residential/Other,2021,12,102,2021-12-01
479,Break and Enter Residential/Other,2022,1,101,2022-01-01
480,Break and Enter Residential/Other,2022,2,120,2022-02-01
481,Break and Enter Residential/Other,2022,3,116,2022-03-01
482,Break and Enter Residential/Other,2022,4,115,2022-04-01
483,Break and Enter Residential/Other,2022,5,106,2022-05-01
484,Break and Enter Residential/Other,2022,6,109,2022-06-01
485,Break and Enter Residential/Other,2022,7,124,2022-07-01
486,Break and Enter Residential/Other,2022,8,88,2022-08-01
487,Break and Enter Residential/Other,2022,9,80,2022-09-01
488,Break and Enter Residential/Other,2022,10,121,2022-10-01
489,Break and Enter Residential/Other,2022,11,76,2022-11-01
490,Break and Enter Residential/Other,2022,12,110,2022-12-01
491,Break and Enter Residential/Other,2023,1,105,2023-01-01
492,Break and Enter Residential/Other,2023,2,85,2023-02-01
493,Break and Enter Residential/Other,2023,3,119,2023-03-01
494,Break and Enter Residential/Other,2023,4,97,2023-04-01
495,Break and Enter Residential/Other,2023,5,108,2023-05-01
496,Break and Enter Residential/Other,2023,6,115,2023-06-01
497,Break and Enter Residential/Other,2023,7,95,2023-07-01
